MANUAL ENTRIES HERE,Unnamed: 1,Box 1 Dimension Details,Unnamed: 3,Unnamed: 4,Unnamed: 5,Box 2 Dimension Details,Unnamed: 7,Unnamed: 8,Unnamed: 9,Box 3 Dimension Details,Unnamed: 11,Unnamed: 12,Unnamed: 13,Total Weight,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,Long,Med,Smal,Actual.Wht,Long,Med,Smal,Actual.Wht,Long,Med,Smal,Actual.Wht,Actual.Wht,Wht(Kgs),CBN,KG/CBN
MTP SKU Code,SB/MB,Lcm,Bcm,Hcm,PW(gm),Lcm,Bcm,Hcm,PW(gm),Lcm,Bcm,Hcm,PW(gm),Gms,Kgs,,
B-MLT-KT,MB,1,0,-1,-150,-4,0,1,-900,5,3,1,1650,600,0.6,0.0005298,1132.5028312570782
B-MLT-QT,MB,-1,-1,0,-1480,-2,18,1,4700,2,1,1,-2750,470,0.47,-0.00120088,-391.3796549197255
B-POL-KN,MB,205,54,10,35000,105,94,5,35000,0,0,0,0,70000,70,5.652966,12.3828800668534
B-POL-KT,MB,1,-2,1,-1300,43,0,0,-900,1,17,0,1340,-860,-0.86,-7.064e-05,12174.405436013589
B-POL-QN,MB,206,50,10,46000,102,79,5,24000,0,0,0,0,70000,70,5.0610028,13.83125099239226
B-POL-QT,MB,-6,-9,2,490,-1,0,0,-1750,3,2,1,400,-860,-0.86,0.004026480000000001,-213.58606028094013
B-POL-SN,MB,-2,0,0,-2550,1,-1,0,300,0,0,0,0,-2250,-2.25,0,
B-RVB-KN,MB,-1,0,0,-800,-1,-2,0,-2250,0,0,0,0,-3050,-3.05,0,
B-RVB-QN,MB,-2,-1,0,-650,-3,4,0,-30900,0,0,0,0,-31550,-31.55,0,
B-RVB-SN,MB,79,-1,1,-2540,2,-2,0,1100,0,0,0,0,-1440,-1.44,-0.00279028,516.0772395601875
B-RVB-D36N,SB,0,0,0,-4030,0,0,0,0,0,0,0,0,-4030,-4.03,0,
BT-CO,SB,-2,-1,-1,-130,0,0,0,0,0,0,0,0,-130,-0.13,-7.064e-05,1840.317100792752
BT-HE,SB,0,0,0,-480,0,0,0,0,0,0,0,0,-480,-0.48,0,
BT-LE-B,`,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BT-LE-S, ,,,,,,,,,,,,,,,,
BT-OL,SB,-2,0,-3,-550,0,0,0,0,0,0,0,0,-550,-0.55,0,
BT-OL-D,SB,11,1,-5,-410,0,0,0,0,0,0,0,0,-410,-0.41,-0.0019426,211.05734582518272
CMB-RELO, ,,,,,,,,,,,,,,,,
CT-ATD-LA,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CT-ATD-ST,SB,16,7,-3,3700,0,0,0,0,0,0,0,0,3700,3.7,-0.01186752,-311.77533300976114
CT-DOV,SB,0,-4,0,-2050,0,0,0,0,0,0,0,0,-2050,-2.05,0,
CT-GSE-RT,SB,-1,0,0,-980,0,0,0,0,0,0,0,0,-980,-0.98,0,
CT-GSE-RT2,SB,-2,1,0,-160,0,0,0,0,0,0,0,0,-160,-0.16,0,
CT-GSE-SQ,SB,-2,-2,0,150,0,0,0,0,0,0,0,0,150,0.15,0,
CT-GSE-SQ2,SB,-3,-2,0,4100,0,0,0,0,0,0,0,0,4100,4.1,0,
CT-KV-RT,SB,10,6,-1,-2700,0,0,0,0,0,0,0,0,-2700,-2.7,-0.0021192,1274.0656851642132
CT-KV-SQ,SB,0,-1,-1,-4608,0,0,0,0,0,0,0,0,-4608,-4.608,0,
CT-LE,SB,17,11,-1,-1350,0,0,0,0,0,0,0,0,-1350,-1.35,-0.00660484,204.395564464847
CT-MD-RT,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CT-MD-SQ,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CT-MT-RO,MB,0,0,5,2620,1,0,2,-300,0,0,0,0,2320,2.32,0,
CT-MT-RT,MB,14,8,-1,700,1,0,2,-300,0,0,0,0,400,0.4,-0.00395584,-101.11632421938197
CT-MT-SQ,MB,-20,30,1,-2705,1,0,2,-300,0,0,0,0,-3005,-3.005,-0.021192,141.79879199698
CT-NO-RT,SB,0,0,0,100,-51,-12,-10,-1500,0,0,0,0,-1400,-1.4,-0.21615839999999997,6.476731878104205
CT-NO-SQ,SB,0,0,-1,-1100,0,0,0,0,0,0,0,0,-1100,-1.1,0,
CT-OL,SB,16,-1,-3,900,0,0,0,0,0,0,0,0,900,0.9,0.0016953600000000001,530.8607021517554
CT-OSN-OV,SB,0,0,0,-86760,0,0,0,0,0,0,0,0,-86760,-86.76,0,
CT-OSN-RT,SB,0,0,0,200,0,0,0,0,0,0,0,0,200,0.2,0,
CT-SY,SB,1,0,0,50,0,0,0,0,0,0,0,0,50,0.05,0,
CT-TR-RTL,,,,,,,,,,,,,,,,,
CT-TR-RTS,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CT-VC,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DT-GRA,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DT-HE-3,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DT-HE-4,SB,1,-2,-2,-3240,0,0,0,0,0,0,0,0,-3240,-3.24,0.00014128,-22933.182332955832
DT-MR,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GH-CE,SB,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GH-IS,SB,1,-2,2,-150,0,0,0,0,0,0,0,0,-150,-0.15,-0.00014128,1061.7214043035108
KH-AM,,,,,,,,,,,,,,,,,
KH-RZ,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KHS-SW-W1,SB,-1,0,0,40,0,0,0,0,0,0,0,0,40,0.04,0,
KH-SW-W10,SB,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,
KH-SW-W21,SB,-1,-1,0,-150,0,0,0,0,0,0,0,0,-150,-0.15,0,
KH-SW-WB,SB,0,0,0,-105,0,0,0,0,0,0,0,0,-105,-0.105,0,
KH-TO-18,SB,0,0,-1,-300,0,0,0,0,0,0,0,0,-300,-0.3,0,
KH-TO-40,SB,2,-2,-2,-455,0,0,0,0,0,0,0,0,-455,-0.455,0.00028256,-1610.277463193658
KH-VD,SB,0,0,0,-10,0,0,0,0,0,0,0,0,-10,-0.01,0,
KR-JSD,SB,0,-10,0,-900,0,0,0,0,0,0,0,0,-900,-0.9,0,
LT-NN-WN,,,,,,,,,,,,,,,,,
LT-GRA,,,,,,,,,,,,,,,,,
M-AK-B,,,,,,,,,,,,,,,,,
PC-SM-L,,,,,,,,,,,,,,,,,
PC-SM-S,,,,,,,,,,,,,,,,,
RH-OT,SB,1,-6,-2,-370,0,0,0,0,0,0,0,0,-370,-0.37,0.00042384000000000003,-872.970932427331
RH-RL,SB,-1,-4,-3,-8790,0,0,0,0,0,0,0,0,-8790,-8.79,-0.00042384000000000003,20738.95809739524
RH-SU-2-2, ,,,,,,,,,,,,,,,,
RH-SU-4,SB,,,,,,,,,,,,,,,,
RT-ALY,SB,3,3,-1,-1600,0,0,0,0,0,0,0,0,-1600,-1.6,-0.00031788,5033.345916698126
RT-AT,SB,1,0,-3,-900,0,0,0,0,0,0,0,0,-900,-0.9,0,
RT-DR,SB,0,0,0,700,0,0,0,0,0,0,0,0,700,0.7,0,
RT-NR,,,,,,,,,,,,,,,,,
RT-RI,SB,1,1,2,150,0,0,0,0,0,0,0,0,150,0.15,7.064e-05,2123.4428086070216
RT-RI-M,SB,1,-1,0,90,0,0,0,0,0,0,0,0,90,0.09,0,
RT-T,SB,0,0,0,-250,0,0,0,0,0,0,0,0,-250,-0.25,0,
S-AB,SB,0,3,0,490,0,0,0,0,0,0,0,0,490,0.49,0,
S-AE,SB,40,1,-2,-780,0,0,0,0,0,0,0,0,-780,-0.78,-0.0028256,276.0475651189128
S-AI,SB,0,0,1,40,0,0,0,0,0,0,0,0,40,0.04,0,
S-AO,SB,-1,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,
S-ATL,SB,3,1,0,-450,0,0,0,0,0,0,0,0,-450,-0.45,0,
SB-AA,SB,0,-2,1,140,0,0,0,0,0,0,0,0,140,0.14,0,
SB-AL-2,SB,0,0,0,-110,0,0,0,0,0,0,0,0,-110,-0.11,0,
SB-AL-4,SB,0,0,0,-110,0,0,0,0,0,0,0,0,-110,-0.11,0,
SB-AXA-4,SB,56,-1,0,-210,0,0,0,0,0,0,0,0,-210,-0.21,0,
SB-AXA-51,SB,-1,-1,-1,-1850,0,0,0,0,0,0,0,0,-1850,-1.85,-3.532e-05,52378.25594563987
SB-AXA-52,SB,0,1,0,-1150,0,0,0,0,0,0,0,0,-1150,-1.15,0,
SB-CA,SB,0,0,0,-150,0,0,0,0,0,0,0,0,-150,-0.15,0,
SB-CB,SB,-2,1,0,-2560,0,0,0,0,0,0,0,0,-2560,-2.56,0,
SB-CS-LA,SB,2,6,-2,-1400,0,0,0,0,0,0,0,0,-1400,-1.4,-0.0008476800000000001,1651.566628916572
SB-CS-ST,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SB-MOL,SB,29,-4,-2,-4050,0,0,0,0,0,0,0,0,-4050,-4.05,0.00819424,-494.24961924473774
SB-MPL,SB,0,-2,0,-910,0,0,0,0,0,0,0,0,-910,-0.91,0,
SB-MXL-LA,SB,0,1,0,-1150,0,0,0,0,0,0,0,0,-1150,-1.15,0,
SB-MXL-ST,SB,0,0,0,-150,0,0,0,0,0,0,0,0,-150,-0.15,0,
SB-OS,SB,0,0,0,-150,0,0,0,0,0,0,0,0,-150,-0.15,0,
SB-PH,SB,4,4,0,150,0,0,0,0,0,0,0,0,150,0.15,0,
S-BR-4,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S-BR-6,SB,3,2,0,-1810,0,0,0,0,0,0,0,0,-1810,-1.81,0,
S-BR-N6,,,,,,,,,,,,,,,,,
SB-SML, ,,,,,,,,,,,,,,,,
SB-SN-D,SB,2,-2,-1,100,0,0,0,0,0,0,0,0,100,0.1,0.00014128,707.8142695356738
SB-SN-N,SB,2,-1,-1,-2450,0,0,0,0,0,0,0,0,-2450,-2.45,7.064e-05,-34682.89920724802
SB-WA,SB,-5,-1,1,-400,0,0,0,0,0,0,0,0,-400,-0.4,0.0001766,-2265.0056625141565
SB-WA-WM,SB,0,1,0,-405,0,0,0,0,0,0,0,0,-405,-0.405,0,
SB-WLB,SB,-1,1,0,-1215,0,0,0,0,0,0,0,0,-1215,-1.215,0,
S-CC,SB,0,0,0,-1000,0,0,0,0,0,0,0,0,-1000,-1,0,
S-CK-2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S-CRN,,,,,,,,,,,,,,,,,
S-ETN,SB,3,0,1,-390,0,0,0,0,0,0,0,0,-390,-0.39,0,
S-NE-W2,,,,,,,,,,,,,,,,,
S-GRB,SB,1,-2,1,-960,0,0,0,0,0,0,0,0,-960,-0.96,-7.064e-05,13590.033975084936
S-JVS,SB,0,0,-1,-550,0,0,0,0,0,0,0,0,-550,-0.55,0,
S-LC,SB,,,,,,,,,,,,,,,,
S-LO,SB,3,-3,0,-860,0,0,0,0,0,0,0,0,-860,-0.86,0,
SL-VE-18, ,,,,,,,,,,,,,,,,
SL-VE-P,SB,,,,,,,,,,,,,,,,
S-MO-3,SB,0,0,0,-110,0,0,0,0,0,0,0,0,-110,-0.11,0,
S-MO-5,SB,1,0,7,500,0,0,0,0,0,0,0,0,500,0.5,0,
S-PTE,SB,1,0,0,100,0,0,0,0,0,0,0,0,100,0.1,0,
SR-BKN-2,SB,-69,-15,6,-12960,0,0,0,0,0,0,0,0,-12960,-12.96,0.2193372,-59.08710423949973
SR-CLM-2,SB,1,1,0,-1500,0,0,0,0,0,0,0,0,-1500,-1.5,0,
SR-CLM-3,SB,1,0,2,-3500,0,0,0,0,0,0,0,0,-3500,-3.5,0,
SR-KPN,SB,1,1,0,-1350,0,0,0,0,0,0,0,0,-1350,-1.35,0,
SR-LRL,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SR-OLY,SB,0,0,0,-1950,0,0,0,0,0,0,0,0,-1950,-1.95,0,
SR-WHTO,SB,-1,0,1,-5050,0,0,0,0,0,0,0,0,-5050,-5.05,0,
S-RY,SB,,,,,,,,,,,,,,,,
S-SB-S3,SB,0,0,0,-560,0,0,0,0,0,0,0,0,-560,-0.56,0,
S-T-16S4,SB,-0.5,-2,0,690,0,0,0,0,0,0,0,0,690,0.69,0,
ST-AML,SB,0,0,1,-2860,0,0,0,0,0,0,0,0,-2860,-2.86,0,
ST-CND-LA,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ST-CND-ST,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S-TCW-10P2,SB,-2,-2,0,35,0,0,0,0,0,0,0,0,35,0.035,0,
S-TCW-8P2,SB,,,,,,,,,,,,,,,,
ST-ENI-LA,,,,,,,,,,,,,,,,,
ST-ENI-ST,,,,,,,,,,,,,,,,,
ST-GSE-LA,SB,,,,,,,,,,,,,,,,
ST-GSE-ST,SB,0,-2,-1,-1255,0,0,0,0,0,0,0,0,-1255,-1.255,0,
ST-GSE-WMN,SB,,,,,,,,,,,,,,,,
ST-GSE-WMS,SB,-1,1,0,1585,0,0,0,0,0,0,0,0,1585,1.585,0,
ST-GSE-WMSN,,,,,,,,,,,,,,,,,
ST-GSE-WMSW,SB,,,,,,,,,,,,,,,,
ST-HE,SB,-2,0,-1,100,0,0,0,0,0,0,0,0,100,0.1,0,
ST-HES,SB,-1,0,0,540,0,0,0,0,0,0,0,0,540,0.54,0,
ST-MLM-L,SB,1,3,2,3000,0,0,0,0,0,0,0,0,3000,3,0.00021192000000000002,14156.285390713476
ST-MLM-N,SB,-1,1,1,-150,0,0,0,0,0,0,0,0,-150,-0.15,-3.532e-05,4246.885617214043
ST-RE,SB,0,-1,1,-608,0,0,0,0,0,0,0,0,-608,-0.608,0,
S-TW12-S4,SB,,,,,,,,,,,,,,,,
S-XD,SB,3,3,-2,7100,0,0,0,0,0,0,0,0,7100,7.1,-0.00063576,-11167.736252673965
TS-NV,,,,,,,,,,,,,,,,,
TS-NL,SB,-1,0,1,-11400,0,0,0,0,0,0,0,0,-11400,-11.4,0,
TS-NL-A,SB,0,0,1,-385,0,0,0,0,0,0,0,0,-385,-0.385,0,
TU-ARO-LA,SB,1,0,-1,-860,0,0,0,0,0,0,0,0,-860,-0.86,0,
TU-ARO-ST,SB,,,,,,,,,,,,,,,,
